section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,"M.S., Program Evaluation and Data Analytics",Arizona State University,"Tempe, AZ",2025,2026,Pursuing graduate-level training in program evaluation and data analytics,Focus on HR operations and data-informed decision making,Expected December 2026
education,TRUE,"B.S., Justice Studies (Minor: Communication)",Arizona State University,"Tempe, AZ",2021,2025,Certificate in Workplace Communication,Graduated May 2025,NA

industry_positions,TRUE,"People Operations Intern",Abnormal AI,"Remote / AZ",2025,Present,Managed I-9 processing using Sterling First Advantage and E-Verify,Conducted weekly attrition reporting and compliance audits (profiles personal data L&D completion),Processed hire date corrections in Workday and DocuSign and supported HRIS data integrity

industry_positions,TRUE,"Administrative Assistant",The California Allstars,"Mesa, AZ",2022,2023,Reconciled tuition data ensuring 100 percent payment accuracy,Responded to customer inquiries and coordinated scheduling logistics,Maintained organized administrative workflows and records

industry_positions,TRUE,"Administrative Assistant",Saint Charles School,"San Carlos, CA",2023,2023,Organized administrative paperwork and records,Provided classroom and after-school program support,Delivered responsive student and parent communication

industry_positions,TRUE,"Director of Chapter Culture",Alpha Omicron Pi,"Tempe, AZ",2023,2024,Led diversity and inclusion initiatives and peer feedback forums,Developed engagement and accountability strategies,Coordinated officer collaboration to improve member retention

industry_positions,FALSE,"Barista",Black Rock Coffee Bar,"Scottsdale, AZ",2023,2025,Trained new employees and supported onboarding,Managed floor rotations and operational flow,Handled POS transactions and maintained service quality